Navn;Ejd_beliggenhed;CVR;KOMMUNE_NR;EJD_NR;Andel;delta_Ejendoms_værdi;delta_Grund_værdi;delta_Stuehus_værdi;delta_Stuehus_Grund_værdi;Vurdering_Aktuel;Ejendoms_værdi_Aktuel;Grund_Værdi_Aktuel;Stuehus_Værdi_Aktuel;Stuehus_grundværdi_Aktuel;Historisk_vurdering;Historisk_ejendomsværdi;Historisk_grundværdi;Historisk_stuehusværdi;Historisk_stuehus_grundværdi;Elavskode;Matrnr
Middelfart kommune;Nygade 501;29189684;410;929;100;31900;31900;0;0;2016;133800;133800;0;0;2004;101900;101900;0;0;400451;18CP
Middelfart kommune;Nygade 501;29189684;410;929;100;31900;31900;0;0;2016;133800;133800;0;0;2004;101900;101900;0;0;400451;18CP
Middelfart kommune;Nygade 501;29189684;410;929;100;31900;31900;0;0;2016;133800;133800;0;0;2004;101900;101900;0;0;400451;18CP
Middelfart kommune;Nederballevej 26 A;29189684;410;958;100;1700;1700;0;0;2016;5500;5500;0;0;2004;3800;3800;0;0;400553;15D
Middelfart Kommune;Sandhøjsvej 26 - Gr.omr./sø;29189684;410;980;100;0;0;0;0;2016;428900;428900;0;0;2004;428900;428900;0;0;400952;123A
Middelfart Kommune;Gelstedvej 27 - musiksk./sundhp.;29189684;410;1006;100;-40000;0;0;0;2016;400000;89500;0;0;2004;440000;89500;0;0;400851;8BC
Middelfart Kommune;Gelstedvej 27 - musiksk./sundhp.;29189684;410;1006;100;-40000;0;0;0;2016;400000;89500;0;0;2004;440000;89500;0;0;400851;8BC
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8AY
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8AY
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8AY
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8AY
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BQ
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BQ
